ablation,n_ind,removed,domain_rank_spearman,domain_Q_corr,conflict_mean,resolution_gain,top_domain
content_family,7,15,0.4642857142857144,0.17897450497894238,,,c4
format_family,15,7,0.8214285714285715,0.9889225076442029,,,book
modernbert,18,4,1.0,0.9993605990730913,0.14535421995035505,0.08142435296602679,book
rps_doc,14,8,0.8214285714285715,0.340568169330878,0.1254128679422798,0.04956589937036271,c4
dsir,19,3,1.0,0.9999736714694546,0.2516359570992233,0.00976939918949904,book
fineweb+fluency,20,2,1.0,0.9997652432378801,0.1520602737653116,0.03504423977614024,book
ad_en,21,1,0.9642857142857145,0.9996106997339171,0.19004860071814372,-0.004999340529975083,book
leave1_dsir_books,21,1,1.0,,,,book
leave1_dsir_wiki,21,1,1.0,,,,book
leave1_dsir_math,21,1,1.0,,,,book
leave1_rps_doc_word_count,21,1,1.0,,,,book
leave1_rps_doc_num_sentences,21,1,1.0,,,,book
leave1_rps_doc_unigram_entropy,21,1,1.0,,,,book
leave1_rps_doc_frac_unique_words,21,1,1.0,,,,book
leave1_rps_doc_frac_no_alph_words,21,1,1.0,,,,book
leave1_rps_doc_frac_chars_top_2gram,21,1,1.0,,,,book
leave1_rps_doc_frac_chars_top_3gram,21,1,1.0,,,,book
leave1_rps_lines_uppercase_letter_fraction,21,1,1.0,,,,book
leave1_rps_lines_ending_with_terminal_punctution_mark,21,1,0.9642857142857145,,,,book
leave1_rps_lines_numerical_chars_fraction,21,1,1.0,,,,book
leave1_rps_doc_mean_word_length,21,1,1.0,,,,book
leave1_fineweb_edu,21,1,1.0,,,,book
leave1_fluency_en,21,1,1.0,,,,book
leave1_modernbert_cleanliness,21,1,1.0,,,,book
leave1_modernbert_readability,21,1,1.0,,,,book
leave1_modernbert_reasoning,21,1,1.0,,,,book
leave1_modernbert_professionalism,21,1,1.0,,,,book
leave1_qurater,21,1,1.0,,,,book
leave1_ad_en,21,1,0.9642857142857145,,,,book
