form,C,L,N,D,Q,s_train,s_Q,s_attn
exp,1e+18,3.9407394156412217,0.08481263974364825,1.5775870246665982,0.4679894908661117,0.8027959199238126,0.08759567714258959,0.10960840293359789
exp,1e+19,3.2470824656880852,0.2940861529676743,3.8103776626190795,0.7148963947016942,0.6723475848921624,0.235854558183894,0.09179785692394324
exp,1e+20,2.7304497452560947,0.8942576973616752,11.305240803040435,0.9425233288347517,0.6065879165187716,0.3105926132791985,0.08281947020202964
exp,1e+21,2.3723560394950742,2.2264934358910544,52.33694889473617,1.0,0.6991672390121739,0.20537312728803045,0.09545963369979549
exp,1e+22,2.1459725713593683,5.840797556512714,228.552502499196,1.0,0.8009573388793021,0.08968528578571029,0.10935737533498738
exp,1.0000000000000001e+23,1.995116602762423,16.76002737312922,845.9232454120523,1.0,0.8506618049203382,0.03319450331453813,0.11614369176512351
exp,1e+24,1.8908328842605462,50.296475972849684,2882.6270499904163,1.0,0.8699158929511772,0.011311590464555028,0.11877251658426739
exp,1e+25,1.8175569761641712,153.5983590068892,9511.65285322058,1.0,0.8765845618187258,0.003732426007624026,0.11968301217365006
power,1e+18,3.9456104233338163,0.07827290796732801,1.8735060638848258,0.4,0.8798686062881275,0.0,0.12013139371187236
power,1e+19,3.287052166111762,0.29819803321594557,3.936960256102478,0.5968640871204043,0.7043962831314625,0.19943014434498815,0.09617357252354902
power,1e+20,2.7502863732309666,1.0280974795707913,8.415523308412173,1.0,0.5191186981588681,0.41000429558584106,0.0708770062552908
power,1e+21,2.378213562979752,2.3282998720793575,48.19476277603222,1.0,0.6732711600379848,0.23480488424482898,0.09192395571718619
power,1e+22,2.1476603732774278,5.973787923340154,219.257593492326,0.9999999999999999,0.7858790184630491,0.1068222995494612,0.10729868198748832
power,1.0000000000000001e+23,1.9955466590488236,16.911992229042877,831.9588166766861,1.0,0.8442048625511893,0.04053303354848814,0.11526210390032238
power,1e+24,1.89093571547246,50.45667553587638,2865.771598692414,0.9999999999999999,0.8675838462909172,0.013962039228829435,0.11845411448025325
power,1e+25,1.8175809511222984,153.76154329839866,9493.045582223695,1.0,0.8757992035948563,0.004625011807659384,0.1195757845974844
log,1e+18,3.945610423333816,0.0782729054950916,1.8735061230591965,0.4,0.8798686062881276,0.0,0.12013139371187237
log,1e+19,3.2056868911648966,0.33334194862316163,2.5973755194055146,0.9999999999999999,0.5194885301668385,0.40958396918104933,0.07092750065211235
log,1e+20,2.681145622947943,0.7551220314363328,14.867140812670153,1.0,0.6735903343268098,0.23444213202643643,0.09196753364675378
log,1e+21,2.3560656012749304,1.937965509678204,67.60278896627867,1.0,0.7860712402482137,0.1066038330832298,0.10732492666855614
log,1e+22,2.141558663005612,5.487386629600187,256.4332589647661,0.9999999999999997,0.8442890619768357,0.04043733809459335,0.11527359992857066
log,1.0000000000000001e+23,1.9940291247485649,16.37278241941406,883.1878711802769,1.0,0.8676145710180101,0.01392711955233081,0.118458309429659
log,1e+24,1.8905764092112571,49.8957686323884,2925.4638029648213,1.0,0.8758095903309591,0.004613206935853726,0.11957720273318694
log,1e+25,1.8174974696971364,153.1929175821679,9558.127221346549,1.0,0.8785424373957703,0.0015072351517937555,0.11995032745243585
