,topsis_entropy,wsum_entropy,gra_entropy,topsis_critic,wsum_critic,gra_critic,topsis_combo,wsum_combo,gra_combo,topsis_pca,wsum_pca,gra_pca,topsis_equal,wsum_equal,gra_equal
topsis_entropy,1.0,0.9467453889074623,0.780000530494576,0.5686172188148687,0.43531681503112674,0.425309423944165,0.9358734957948671,0.8144094061788518,0.6024948221305948,0.5288955426617429,0.4233003083206054,0.2863380508596154,0.5530242368015517,0.4442565439718194,0.3061362578085535
wsum_entropy,0.9467453889074623,1.0,0.8628159411377762,0.6569577408538514,0.5618025411295617,0.4996474517207871,0.9398633715949857,0.9144519792426213,0.7003022862949541,0.6131762807006296,0.5399139169784047,0.36002711488225947,0.65073540215563,0.5694887018331466,0.3731804991710373
gra_entropy,0.780000530494576,0.8628159411377762,1.0,0.7823971358850088,0.8063398374957951,0.7635061278585322,0.8718299796796848,0.9705781518254187,0.927659440309773,0.7171131844690426,0.7721501143100538,0.669054676867325,0.755144241826163,0.7964995916958846,0.6778270989452443
topsis_critic,0.5686172188148687,0.6569577408538514,0.7823971358850088,1.0,0.8957187238569451,0.8239911294643639,0.7299566215023895,0.7861065667931729,0.8511519330063776,0.8918052061989247,0.8623685142585142,0.760760141194146,0.9620217267704188,0.9044384599234447,0.7664157525363173
wsum_critic,0.43531681503112674,0.5618025411295617,0.8063398374957951,0.8957187238569451,1.0,0.9422324483489787,0.6056589007219834,0.7794447641156238,0.9311564101039952,0.8334761484924652,0.9699393123462756,0.9123463524628144,0.8668838458290744,0.9886273274570182,0.9080121077323929
gra_critic,0.425309423944165,0.4996474517207871,0.7635061278585322,0.8239911294643639,0.9422324483489787,1.0,0.6100540699923512,0.7337256606445409,0.9273271512317138,0.7980532471212416,0.9379277565216019,0.9764391153280688,0.8135219607788086,0.942651566781755,0.9843613252904749
topsis_combo,0.9358734957948671,0.9398633715949857,0.8718299796796848,0.7299566215023895,0.6056589007219834,0.6100540699923512,1.0,0.9181810779563321,0.7612658910899783,0.6480811648770592,0.5771134969893364,0.4709354527227927,0.7015946053721467,0.6127004312418297,0.4966642884274912
wsum_combo,0.8144094061788518,0.9144519792426213,0.9705781518254187,0.7861065667931729,0.7794447641156238,0.7337256606445409,0.9181810779563321,1.0,0.8994089250959211,0.7205516230245097,0.7455690397133703,0.6177533913656278,0.7684426036726298,0.7769407219717602,0.630038525006606
gra_combo,0.6024948221305948,0.7003022862949541,0.927659440309773,0.8511519330063776,0.9311564101039952,0.9273271512317138,0.7612658910899783,0.8994089250959211,1.0,0.7850018540376444,0.9003214154139011,0.8648803254615907,0.8243406170062977,0.921694283096586,0.8734695765488826
topsis_pca,0.5288955426617429,0.6131762807006296,0.7171131844690426,0.8918052061989247,0.8334761484924652,0.7980532471212416,0.6480811648770592,0.7205516230245097,0.7850018540376444,1.0,0.9074056559532875,0.7705940107685997,0.9505570539925312,0.8868442212011984,0.7550001583627537
wsum_pca,0.4233003083206054,0.5399139169784047,0.7721501143100538,0.8623685142585142,0.9699393123462756,0.9379277565216019,0.5771134969893364,0.7455690397133703,0.9003214154139011,0.9074056559532875,1.0,0.9287476260244237,0.8822174830871145,0.9860044818565055,0.9136209363128924
gra_pca,0.2863380508596154,0.36002711488225947,0.669054676867325,0.760760141194146,0.9123463524628144,0.9764391153280688,0.4709354527227927,0.6177533913656278,0.8648803254615907,0.7705940107685997,0.9287476260244237,1.0,0.7584838212424102,0.9156812908183155,0.9960831777557905
topsis_equal,0.5530242368015517,0.65073540215563,0.755144241826163,0.9620217267704188,0.8668838458290744,0.8135219607788086,0.7015946053721467,0.7684426036726298,0.8243406170062977,0.9505570539925312,0.8822174830871145,0.7584838212424102,1.0,0.9118828091740162,0.7584066658926657
wsum_equal,0.4442565439718194,0.5694887018331466,0.7964995916958846,0.9044384599234447,0.9886273274570182,0.942651566781755,0.6127004312418297,0.7769407219717602,0.921694283096586,0.8868442212011984,0.9860044818565055,0.9156812908183155,0.9118828091740162,1.0,0.9094197069112419
gra_equal,0.3061362578085535,0.3731804991710373,0.6778270989452443,0.7664157525363173,0.9080121077323929,0.9843613252904749,0.4966642884274912,0.630038525006606,0.8734695765488826,0.7550001583627537,0.9136209363128924,0.9960831777557905,0.7584066658926657,0.9094197069112419,1.0
