loss_domain,model,r2_fit_1m
the_pile_arxiv_val_loss,ridge,0.5153094967863192
the_pile_arxiv_val_loss,lasso,0.4939881263751845
the_pile_arxiv_val_loss,enet,0.4974369597739208
the_pile_arxiv_val_loss,huber,0.4941253603594815
the_pile_arxiv_val_loss,gbt,0.9978925568386471
the_pile_freelaw_val_loss,ridge,0.6163838540349309
the_pile_freelaw_val_loss,lasso,0.5758354394758545
the_pile_freelaw_val_loss,enet,0.5835205322402133
the_pile_freelaw_val_loss,huber,0.6183585460650638
the_pile_freelaw_val_loss,gbt,0.9991094048534147
the_pile_pubmed_central_val_loss,ridge,0.5453181171316863
the_pile_pubmed_central_val_loss,lasso,0.5087437130564489
the_pile_pubmed_central_val_loss,enet,0.5170227020529534
the_pile_pubmed_central_val_loss,huber,0.5453213043320837
the_pile_pubmed_central_val_loss,gbt,0.9961143202282083
the_pile_wikipedia_en_val_loss,ridge,0.6914095064041885
the_pile_wikipedia_en_val_loss,lasso,0.645956536441206
the_pile_wikipedia_en_val_loss,enet,0.637055884766659
the_pile_wikipedia_en_val_loss,huber,0.6946799873323409
the_pile_wikipedia_en_val_loss,gbt,0.9983216789485934
the_pile_dm_mathematics_val_loss,ridge,0.35604041998890956
the_pile_dm_mathematics_val_loss,lasso,0.3757328309707757
the_pile_dm_mathematics_val_loss,enet,0.22896465583826808
the_pile_dm_mathematics_val_loss,huber,0.3397884676408053
the_pile_dm_mathematics_val_loss,gbt,0.9978537326818168
the_pile_github_val_loss,ridge,0.5592751525471846
the_pile_github_val_loss,lasso,0.5263167606695158
the_pile_github_val_loss,enet,0.5318292935144759
the_pile_github_val_loss,huber,0.5485261145577311
the_pile_github_val_loss,gbt,0.9974942245111682
the_pile_stackexchange_val_loss,ridge,0.5599540678999569
the_pile_stackexchange_val_loss,lasso,0.5253816338709079
the_pile_stackexchange_val_loss,enet,0.5267166076850203
the_pile_stackexchange_val_loss,huber,0.5529375952061146
the_pile_stackexchange_val_loss,gbt,0.9984151447048604
the_pile_gutenberg_pg_19_val_loss,ridge,0.670212369789083
the_pile_gutenberg_pg_19_val_loss,lasso,0.5287049018203799
the_pile_gutenberg_pg_19_val_loss,enet,0.5270407380375592
the_pile_gutenberg_pg_19_val_loss,huber,0.6832705554102994
the_pile_gutenberg_pg_19_val_loss,gbt,0.995072567535856
the_pile_pile_cc_val_loss,ridge,0.7540238115595932
the_pile_pile_cc_val_loss,lasso,0.6108359691844466
the_pile_pile_cc_val_loss,enet,0.6739660531395546
the_pile_pile_cc_val_loss,huber,0.7622143903931935
the_pile_pile_cc_val_loss,gbt,0.997355904261562
the_pile_ubuntu_irc_val_loss,ridge,0.4107280792577389
the_pile_ubuntu_irc_val_loss,lasso,0.4643361409760399
the_pile_ubuntu_irc_val_loss,enet,0.21502676627063666
the_pile_ubuntu_irc_val_loss,huber,0.4476048463133758
the_pile_ubuntu_irc_val_loss,gbt,0.9960957801539084
the_pile_hackernews_val_loss,ridge,0.4619482035588115
the_pile_hackernews_val_loss,lasso,0.18397064241938088
the_pile_hackernews_val_loss,enet,0.23079356139235163
the_pile_hackernews_val_loss,huber,0.6185440465856755
the_pile_hackernews_val_loss,gbt,0.9946259829190278
the_pile_pubmed_abstracts_val_loss,ridge,0.7344694958454464
the_pile_pubmed_abstracts_val_loss,lasso,0.6709908135849809
the_pile_pubmed_abstracts_val_loss,enet,0.6718859154336174
the_pile_pubmed_abstracts_val_loss,huber,0.7315633017472651
the_pile_pubmed_abstracts_val_loss,gbt,0.9967795208318123
the_pile_uspto_backgrounds_val_loss,ridge,0.7335380528493318
the_pile_uspto_backgrounds_val_loss,lasso,0.6699990146796011
the_pile_uspto_backgrounds_val_loss,enet,0.673458804817443
the_pile_uspto_backgrounds_val_loss,huber,0.7376772150081581
the_pile_uspto_backgrounds_val_loss,gbt,0.9987636868464902
