scale,loss_domain,model,r2_xscale
60M,the_pile_arxiv_val_loss,ridge,0.3161046476333945
60M,the_pile_arxiv_val_loss,lasso,0.3860080202597853
60M,the_pile_arxiv_val_loss,enet,0.42556318537421745
60M,the_pile_arxiv_val_loss,huber,0.3662083029165467
60M,the_pile_arxiv_val_loss,gbt,0.7627496993129995
60M,the_pile_freelaw_val_loss,ridge,0.5622257978129444
60M,the_pile_freelaw_val_loss,lasso,0.5171241795611292
60M,the_pile_freelaw_val_loss,enet,0.5356431579761788
60M,the_pile_freelaw_val_loss,huber,0.549708587976731
60M,the_pile_freelaw_val_loss,gbt,0.9649860661074039
60M,the_pile_pubmed_central_val_loss,ridge,0.5446503124724948
60M,the_pile_pubmed_central_val_loss,lasso,0.5423041428116512
60M,the_pile_pubmed_central_val_loss,enet,0.5689507618114611
60M,the_pile_pubmed_central_val_loss,huber,0.52703439527679
60M,the_pile_pubmed_central_val_loss,gbt,0.732308149024218
60M,the_pile_wikipedia_en_val_loss,ridge,0.7012386137171889
60M,the_pile_wikipedia_en_val_loss,lasso,0.6645243733839138
60M,the_pile_wikipedia_en_val_loss,enet,0.6756136509430488
60M,the_pile_wikipedia_en_val_loss,huber,0.680434722290898
60M,the_pile_wikipedia_en_val_loss,gbt,0.9726376181816201
60M,the_pile_dm_mathematics_val_loss,ridge,0.34116721136137385
60M,the_pile_dm_mathematics_val_loss,lasso,0.24917357059387635
60M,the_pile_dm_mathematics_val_loss,enet,0.32964665575841645
60M,the_pile_dm_mathematics_val_loss,huber,0.3405294816702218
60M,the_pile_dm_mathematics_val_loss,gbt,-0.1408985118676489
60M,the_pile_github_val_loss,ridge,0.4715777084298486
60M,the_pile_github_val_loss,lasso,0.48655110860733153
60M,the_pile_github_val_loss,enet,0.5131908515675001
60M,the_pile_github_val_loss,huber,0.5071927384373358
60M,the_pile_github_val_loss,gbt,0.7973231561722295
60M,the_pile_stackexchange_val_loss,ridge,0.5247838156215021
60M,the_pile_stackexchange_val_loss,lasso,0.5427539171864059
60M,the_pile_stackexchange_val_loss,enet,0.5446079306551574
60M,the_pile_stackexchange_val_loss,huber,0.5272341112132843
60M,the_pile_stackexchange_val_loss,gbt,0.9202686656670176
60M,the_pile_gutenberg_pg_19_val_loss,ridge,0.6788534170696995
60M,the_pile_gutenberg_pg_19_val_loss,lasso,0.5664213638002302
60M,the_pile_gutenberg_pg_19_val_loss,enet,0.5478599149896518
60M,the_pile_gutenberg_pg_19_val_loss,huber,0.6835369484313748
60M,the_pile_gutenberg_pg_19_val_loss,gbt,0.939691450257308
60M,the_pile_pile_cc_val_loss,ridge,0.7397370606831597
60M,the_pile_pile_cc_val_loss,lasso,0.5990951100098505
60M,the_pile_pile_cc_val_loss,enet,0.6691024900510915
60M,the_pile_pile_cc_val_loss,huber,0.7444076455986427
60M,the_pile_pile_cc_val_loss,gbt,0.9649196226603645
60M,the_pile_ubuntu_irc_val_loss,ridge,0.4985531566469703
60M,the_pile_ubuntu_irc_val_loss,lasso,0.5308954600821585
60M,the_pile_ubuntu_irc_val_loss,enet,0.2687539819247492
60M,the_pile_ubuntu_irc_val_loss,huber,0.5217568907224797
60M,the_pile_ubuntu_irc_val_loss,gbt,0.7493840675470935
60M,the_pile_hackernews_val_loss,ridge,0.4380700081900263
60M,the_pile_hackernews_val_loss,lasso,0.1694910984029434
60M,the_pile_hackernews_val_loss,enet,0.2130185341869476
60M,the_pile_hackernews_val_loss,huber,0.597804919941266
60M,the_pile_hackernews_val_loss,gbt,0.9396112200019685
60M,the_pile_pubmed_abstracts_val_loss,ridge,0.7581071482996191
60M,the_pile_pubmed_abstracts_val_loss,lasso,0.6954186947656933
60M,the_pile_pubmed_abstracts_val_loss,enet,0.6948968641084243
60M,the_pile_pubmed_abstracts_val_loss,huber,0.7601343388286113
60M,the_pile_pubmed_abstracts_val_loss,gbt,0.9675248780411568
60M,the_pile_uspto_backgrounds_val_loss,ridge,0.6628708307489894
60M,the_pile_uspto_backgrounds_val_loss,lasso,0.6442585198228703
60M,the_pile_uspto_backgrounds_val_loss,enet,0.6744330045125821
60M,the_pile_uspto_backgrounds_val_loss,huber,0.6067501746010642
60M,the_pile_uspto_backgrounds_val_loss,gbt,0.9410641893416068
1B,the_pile_arxiv_val_loss,ridge,-6.779082399505135
1B,the_pile_arxiv_val_loss,lasso,-5.628006226449824
1B,the_pile_arxiv_val_loss,enet,-4.827724907442013
1B,the_pile_arxiv_val_loss,huber,-6.195482720149487
1B,the_pile_arxiv_val_loss,gbt,-1.523252420517585
1B,the_pile_freelaw_val_loss,ridge,0.08260127712551635
1B,the_pile_freelaw_val_loss,lasso,0.5260448101392023
1B,the_pile_freelaw_val_loss,enet,0.5029605150861167
1B,the_pile_freelaw_val_loss,huber,-0.13732577713959082
1B,the_pile_freelaw_val_loss,gbt,-0.49413987990688657
1B,the_pile_pubmed_central_val_loss,ridge,-25.63817825847515
1B,the_pile_pubmed_central_val_loss,lasso,-17.701360228878652
1B,the_pile_pubmed_central_val_loss,enet,-17.059856169083375
1B,the_pile_pubmed_central_val_loss,huber,-28.877956909405185
1B,the_pile_pubmed_central_val_loss,gbt,-4.970813412393334
1B,the_pile_wikipedia_en_val_loss,ridge,0.5477242005057913
1B,the_pile_wikipedia_en_val_loss,lasso,0.7080690418591653
1B,the_pile_wikipedia_en_val_loss,enet,0.7084810691690573
1B,the_pile_wikipedia_en_val_loss,huber,0.4670117936865018
1B,the_pile_wikipedia_en_val_loss,gbt,0.6238750055471373
1B,the_pile_dm_mathematics_val_loss,ridge,-0.4195556978785102
1B,the_pile_dm_mathematics_val_loss,lasso,-0.707386470772394
1B,the_pile_dm_mathematics_val_loss,enet,0.3014229891888546
1B,the_pile_dm_mathematics_val_loss,huber,-0.3057990862361284
1B,the_pile_dm_mathematics_val_loss,gbt,-13.687396212620728
1B,the_pile_github_val_loss,ridge,-3.0208984086177253
1B,the_pile_github_val_loss,lasso,-1.9198156087114056
1B,the_pile_github_val_loss,enet,-1.6031879135370435
1B,the_pile_github_val_loss,huber,-2.409864254334085
1B,the_pile_github_val_loss,gbt,-1.9451635737709636
1B,the_pile_stackexchange_val_loss,ridge,-0.2925404771976241
1B,the_pile_stackexchange_val_loss,lasso,0.18434961136692463
1B,the_pile_stackexchange_val_loss,enet,0.1932207299558436
1B,the_pile_stackexchange_val_loss,huber,-0.18722579819329477
1B,the_pile_stackexchange_val_loss,gbt,-0.7368394479832212
1B,the_pile_gutenberg_pg_19_val_loss,ridge,0.4916428476994251
1B,the_pile_gutenberg_pg_19_val_loss,lasso,0.5381797932952285
1B,the_pile_gutenberg_pg_19_val_loss,enet,0.4282551056382039
1B,the_pile_gutenberg_pg_19_val_loss,huber,0.5000988348328845
1B,the_pile_gutenberg_pg_19_val_loss,gbt,0.8826876959891474
1B,the_pile_pile_cc_val_loss,ridge,0.18788817296610894
1B,the_pile_pile_cc_val_loss,lasso,0.7012915840062341
1B,the_pile_pile_cc_val_loss,enet,0.6477977010897311
1B,the_pile_pile_cc_val_loss,huber,-0.03378046274640245
1B,the_pile_pile_cc_val_loss,gbt,0.753954281113815
1B,the_pile_ubuntu_irc_val_loss,ridge,0.3088065281392782
1B,the_pile_ubuntu_irc_val_loss,lasso,-0.0684685972001371
1B,the_pile_ubuntu_irc_val_loss,enet,0.37165375848947
1B,the_pile_ubuntu_irc_val_loss,huber,0.17548699810135038
1B,the_pile_ubuntu_irc_val_loss,gbt,-0.1298579319079245
1B,the_pile_hackernews_val_loss,ridge,0.12876050655609028
1B,the_pile_hackernews_val_loss,lasso,0.07231218095315484
1B,the_pile_hackernews_val_loss,enet,0.08530890680211256
1B,the_pile_hackernews_val_loss,huber,0.2166817499237671
1B,the_pile_hackernews_val_loss,gbt,0.8122591168854272
1B,the_pile_pubmed_abstracts_val_loss,ridge,-0.5875076989459813
1B,the_pile_pubmed_abstracts_val_loss,lasso,0.23986737973444272
1B,the_pile_pubmed_abstracts_val_loss,enet,0.1868404571264899
1B,the_pile_pubmed_abstracts_val_loss,huber,-0.6856466721612782
1B,the_pile_pubmed_abstracts_val_loss,gbt,-0.35297274569551385
1B,the_pile_uspto_backgrounds_val_loss,ridge,0.31785957447462343
1B,the_pile_uspto_backgrounds_val_loss,lasso,0.55650767191742
1B,the_pile_uspto_backgrounds_val_loss,enet,0.570402263661398
1B,the_pile_uspto_backgrounds_val_loss,huber,0.10869503939922309
1B,the_pile_uspto_backgrounds_val_loss,gbt,-0.3378567646342865
