a,b,mean_a,mean_b,diff,p,sig,rank_biserial_r
book,arxiv,0.4954809318540652,0.377695044352196,0.11778588750186925,2.0720294432888766e-71,True,-0.8353671352447363
book,wikipedia,0.4954809318540652,0.3146113829026734,0.18086954895139185,2.5028256593602173e-100,True,-0.946821052631579
book,github,0.4954809318540652,0.30659048467644645,0.18889044717761877,1.5932141495478618e-101,True,-0.9525590643274853
book,stackexchange,0.4954809318540652,0.2965616912014094,0.19891924065265582,3.551670151699852e-103,True,-0.9604269005847954
book,c4,0.4954809318540652,0.2812552586946179,0.2142256731594473,1.0506777160020745e-105,True,-0.9723497076023391
book,commoncrawl,0.4954809318540652,0.26361695636788723,0.231863975486178,7.66757765895759e-107,True,-0.97797068743782
arxiv,wikipedia,0.377695044352196,0.3146113829026734,0.0630836614495226,2.0073592147752667e-228,True,-0.5284999295278365
arxiv,github,0.377695044352196,0.30659048467644645,0.07110455967574952,2.0135333104054997e-291,True,-0.5975575757575757
arxiv,stackexchange,0.377695044352196,0.2965616912014094,0.08113335315078657,0.0,True,-0.6704772374911909
arxiv,c4,0.377695044352196,0.2812552586946179,0.09643978565757805,0.0,True,-0.7976111346018322
arxiv,commoncrawl,0.377695044352196,0.26361695636788723,0.11407808798430874,0.0,True,-0.8603528286824629
wikipedia,github,0.3146113829026734,0.30659048467644645,0.008020898226226925,2.3431336241421754e-81,True,-0.1559866000000001
wikipedia,stackexchange,0.3146113829026734,0.2965616912014094,0.01804969170126397,4.0769905562683613e-302,True,-0.30335201999999994
wikipedia,c4,0.3146113829026734,0.2812552586946179,0.03335612420805545,0.0,True,-0.58074614
wikipedia,commoncrawl,0.3146113829026734,0.26361695636788723,0.05099442653478614,0.0,True,-0.7428521161825725
github,stackexchange,0.30659048467644645,0.2965616912014094,0.010028793475037046,1.4183693717760071e-86,True,-0.16102692000000007
github,c4,0.30659048467644645,0.2812552586946179,0.025335225981828524,0.0,True,-0.44903395999999995
github,commoncrawl,0.30659048467644645,0.26361695636788723,0.04297352830855922,0.0,True,-0.674512468879668
stackexchange,c4,0.2965616912014094,0.2812552586946179,0.015306432506791479,8.122296286656737e-239,True,-0.26945062
stackexchange,commoncrawl,0.2965616912014094,0.26361695636788723,0.03294473483352217,0.0,True,-0.5614081327800831
c4,commoncrawl,0.2812552586946179,0.26361695636788723,0.017638302326730693,0.0,True,-0.4251248340248963
