loss_domain,cv_r2,r2_1M_train,r2_1M,r2_60M,r2_1B,r2_60M_raw,r2_1B_raw
metric/the_pile_arxiv_val_loss,0.44302256602297296,0.5153094967863192,0.4960057291182256,0.3160075674424595,-7.05594067521838,-9.268147597902265,-933.8340357800298
metric/the_pile_freelaw_val_loss,0.5491499386630803,0.6163838540349309,0.5648327319864397,0.5514825857476509,-0.017248506364634597,-4.003321537582652,-582.4821520798872
metric/the_pile_pubmed_central_val_loss,0.4558059619892701,0.5453181171316863,0.5958352031566031,0.5400202928847129,-26.550973153896624,-8.524601036126525,-4148.491744891312
metric/the_pile_wikipedia_en_val_loss,0.5791129968805384,0.6914095064041885,0.7122188797900215,0.7011131190672877,0.5457178733191659,-6.481822120532634,-433.174982211177
metric/the_pile_dm_mathematics_val_loss,0.10962802713022216,0.3560404199889097,0.3529662464186727,0.3343112486881544,-0.8549175370501638,-2.8479147156043965,-73.35867400723009
metric/the_pile_github_val_loss,0.4965492048448226,0.5592751525471846,0.5883720467706135,0.46371678552324114,-5.087684930143589,-13.716121750423973,-1344.6584333355183
metric/the_pile_stackexchange_val_loss,0.4935963835089856,0.5599540678999569,0.5716875719571902,0.5221173803838387,-1.2622512106903567,-9.041609600763636,-741.3172305334995
metric/the_pile_gutenberg_pg_19_val_loss,0.49240017843231926,0.670212369789083,0.6362525769754908,0.6787132180798381,0.48624946862680285,-5.9367490335021245,-119.4905350593379
metric/the_pile_pile_cc_val_loss,0.6822163111454608,0.7540238115595932,0.7535631471354525,0.7391010557989091,-0.34253405381812785,-10.818122066972666,-702.6053321214516
metric/the_pile_ubuntu_irc_val_loss,0.11873943790508293,0.4107280792577389,0.4199611363596516,0.49768725648079293,0.2680655560250289,-7.3570426228972305,-88.99304683870736
metric/the_pile_hackernews_val_loss,0.26246991179968304,0.4619482035588114,0.4277072519122228,0.4379860517152895,0.1261398517299095,-9.942932261479807,-132.18641690324358
metric/the_pile_pubmed_abstracts_val_loss,0.6285449088618791,0.7344694958454464,0.7679298141903081,0.757129789423924,-0.7010401276749381,-5.331629930073108,-711.7462649997952
metric/the_pile_uspto_backgrounds_val_loss,0.6498627773493431,0.7335380528493318,0.7192735673636679,0.6627997759200293,0.01903924184343564,-9.789511242288558,-420.5394886617086
