N0,D0,Q0,eps_N,eps_D,eps_Q,r_QN,r_QD
0.7,200,0.5,-0.06578553805449597,-0.03209090951877395,-0.14701286347096337,2.234729209772209,4.581137327533747
0.7,200,0.55,-0.06506734837601026,-0.03232865360548221,-0.14823893190841858,2.278238403873131,4.585372892958357
0.7,200,0.6,-0.06433772047201808,-0.03257018411632563,-0.1495008107841067,2.3236883384627838,4.5901125474194115
0.7,200,0.65,-0.06359628761518969,-0.032815622449225174,-0.15080392831611558,2.371269361328203,4.595491935265007
0.7,200,0.7,-0.06284264142776473,-0.033065103790342526,-0.1521560171773267,2.421222496705909,4.601709952042177
0.7,250,0.5,-0.06624481032328805,-0.030275937537381562,-0.1480392126270172,2.234729209798563,4.889665677379399
0.7,250,0.55,-0.06552499572969821,-0.030501813070645308,-0.14928156168502138,2.2782384038731314,4.894186497677042
0.7,250,0.6,-0.06479364077608571,-0.03073130993257061,-0.15056022747793707,2.3236883384627838,4.89924535622758
0.7,250,0.65,-0.06405037418142905,-0.03096454462927125,-0.1518806898780297,2.371269361328203,4.904987032635209
0.7,250,0.7,-0.06329478268712795,-0.031201646839861555,-0.15325075176618586,2.4212224967059086,4.911623817573657
0.7,300,0.5,-0.06660286066483706,-0.02886097873776697,-0.1488393581838551,2.2347292097985627,5.157114023617173
0.7,300,0.55,-0.06588181212393782,-0.029077470402548464,-0.15009447449750957,2.278238403873131,5.161882117653353
0.7,300,0.6,-0.06514914387795372,-0.029297450833191234,-0.15138630589003513,2.323688338462784,5.167217678833982
0.7,300,0.65,-0.06440448108339801,-0.02952103257414434,-0.15272037272530356,2.3712693613282037,5.173273405723009
0.7,300,0.7,-0.06364740666359425,-0.029748340850734918,-0.154104532870884,2.421222496705909,5.180273200583451
0.7,350,0.5,-0.06689388588148351,-0.027710892712879607,-0.14948972073845956,2.234729209831102,5.394619447571206
0.7,350,0.55,-0.0661718555837075,-0.027919672484973568,-0.15075526265039563,2.2782384039342825,5.399607131191544
0.7,350,0.6,-0.06543814127451919,-0.028131830765525764,-0.15205784577443907,2.3236883385263347,5.405188415990999
0.7,350,0.65,-0.06469236520704254,-0.02834747678186679,-0.15340302353159097,2.371269361394306,5.411523032967762
0.7,350,0.7,-0.0639341071930894,-0.028566732034039557,-0.15479869864711532,2.421222496774733,5.418845195966421
0.7,400,0.5,-0.06713754669566153,-0.02674798339296635,-0.1500342366750098,2.2347292097985627,5.609179371423672
0.7,400,0.55,-0.06641470904661739,-0.026950248006164305,-0.151308540732064,2.278238403873131,5.614365429863775
0.7,400,0.6,-0.06568013367683315,-0.027155797071646247,-0.15262016069353393,2.3236883384627833,5.620168698818523
0.7,400,0.65,-0.0649334404033041,-0.027364736971691322,-0.15397467775398588,2.3712693613282037,5.626755262192795
0.7,400,0.7,-0.06417420642721688,-0.027577186013859792,-0.15538003230982644,2.4212224967059086,5.634368649206459
0.8,200,0.5,-0.0639301754849583,-0.032370045058065414,-0.14510393362730978,2.2697252514417126,4.482660847923511
0.8,200,0.55,-0.06320781394076917,-0.03260672043362857,-0.14630000818694291,2.314587375605773,4.4868053653153686
0.8,200,0.6,-0.06247409001414446,-0.03284711859297229,-0.14753096533216606,2.361474417614795,4.49144313570721
0.8,200,0.65,-0.061728641735230905,-0.03309135813332722,-0.14880213804733866,2.410585003402263,4.496706887877047
0.8,200,0.7,-0.06097106566171751,-0.033339571237935905,-0.15012112937375488,2.462170010389254,4.502791241746307
0.8,250,0.5,-0.0643804043553728,-0.030541140585928633,-0.14612582946341765,2.2697252514417126,4.784557048623879
0.8,250,0.55,-0.06365623334067334,-0.030766028020273513,-0.14733791406893781,2.314587375605773,4.788980689084998
0.8,250,0.6,-0.06292059512713179,-0.030994476531487004,-0.14858537573381983,2.3614744176147946,4.793930801924443
