indicator,family,book_delta,cc_delta,arxiv_delta
dsir_books,内容/主题,-0.00400247354910788,0.0009132880573013199,-0.0036889925909058645
dsir_wiki,内容/主题,-0.006561080843652102,0.0008981352278268646,-0.0036221080939625276
dsir_math,内容/主题,-0.010358551530362723,0.0007892617775043173,-0.0035033843993726894
rps_doc_word_count,结构/格式,0.08425941242221224,-0.0032649795590508485,0.026917366943101873
rps_doc_num_sentences,结构/格式,0.07662224282646335,-0.0042680517604737345,0.021427237010461175
rps_doc_unigram_entropy,结构/格式,0.009360730246447782,0.003093144394266249,0.006871633556578461
rps_doc_frac_unique_words,结构/格式,-0.013346730856847734,-0.0011556300093642728,-0.009836318832686066
rps_doc_frac_no_alph_words,结构/格式,-0.003574234629617975,-0.004644212039322743,0.0002462868898532684
rps_doc_frac_chars_top_2gram,结构/格式,-0.006893919568284675,-0.002029133542243864,-0.005803760285216321
rps_doc_frac_chars_top_3gram,结构/格式,-0.008786837839798068,-0.0012456055188977931,-0.0063935318803759545
rps_lines_uppercase_letter_fraction,结构/格式,0.027258871860525943,-0.012502481339913383,-0.0013349800403932022
rps_lines_ending_with_terminal_punctution_mark,结构/格式,0.014763682607284712,0.0031074116517645044,-0.005230796018554234
rps_lines_numerical_chars_fraction,结构/格式,0.003103276664082272,0.0008842680332701563,0.00584647373084847
rps_doc_mean_word_length,结构/格式,-0.008136407869725103,-0.006565414163061626,-0.0034810226399911914
fineweb_edu,内容/主题,0.00017609683416017208,-0.0003501185323569623,0.007236562711286766
fluency_en,内容/主题,0.003690737115754388,0.0037118575540404757,-0.0099439317747363
modernbert_cleanliness,结构/格式,0.003629400363232711,-0.004187077420873786,0.002578491598343729
modernbert_readability,语义模型分,-0.0006643605950637753,-0.003867131581625544,-0.0039083803515505555
modernbert_reasoning,内容/主题,-0.0038254347152885566,7.462375345633487e-05,-0.0117564083851417
modernbert_professionalism,语义模型分,-0.002905513997383126,-0.0030939964183065542,0.003054864562085039
qurater,内容/主题,-0.0005341121477376622,-0.0002035605333716925,0.013567826661156683
ad_en,语义模型分,-0.009217305399865948,-0.007046945449276247,0.0005206266673296392
