tcode,family,bN,bT,frontier_resid_p90,rmse
int_year,qr90,0.3515112829227711,0.15495816009854563,0.16294594364835405,0.5680595627646837
int_year,qr95,0.3515112829227711,0.15495816009854563,0.16294594364835405,0.5680595627646837
int_year,qr80,0.3515112829227711,0.15495816009854563,0.16294594364835405,0.5680595627646837
int_year,huber,0.3692137113111029,0.21391820293451982,0.4572409102793669,0.4786649994909885
int_year,ols,0.35974671942218517,0.20471691632003586,0.4733298117928189,0.4782083832045983
frac_year,qr90,0.3470600411549025,0.5438933406626046,0.1388463194769093,0.5501609579410827
frac_year,qr95,0.3470600411549025,0.5438933406626046,0.1388463194769093,0.5501609579410827
frac_year,qr80,0.3470600411549025,0.5438933406626046,0.1388463194769093,0.5501609579410827
frac_year,huber,0.37613235398754985,0.6064602683491144,0.4012030394361929,0.46987009484833664
frac_year,ols,0.3663344821531027,0.5744307910487921,0.42081279083383455,0.4693559284024932
