case,L,N,D,Q
lo_all,2.125132623727391,4.586106446474732,309.0433870018482,1.0
median,2.1357263858722915,6.134439742662523,238.33594278161726,1.0
hi_all,2.1726394707807954,7.754299058747427,192.30506536371405,1.0
corner_00,2.212453053025251,5.266119419829289,273.41830088899223,1.0
corner_01,2.212453053025251,5.266119651302999,273.4182901602575,1.0
corner_02,2.0937389387308354,6.776894763715578,217.6714204644983,0.9999999999999999
corner_03,2.0937389387308354,6.776895375492421,217.6714024928667,1.0
corner_04,2.232258904957475,4.772857893377648,298.36696203984627,1.0
corner_05,2.2322589049574746,4.772857325691947,298.3669933727869,1.0
corner_06,2.1072794426836063,6.192958934000235,236.29265391936778,0.9999999999999998
corner_07,2.1072794426836063,6.192959028908486,236.29265063390844,1.0
corner_08,2.195031002021831,5.8657761562611865,248.18903694488793,0.9999999999999999
corner_09,2.195031002021831,5.865775859293679,248.18904828626597,1.0
corner_10,2.0752703273343873,7.368929268904137,201.5665037613165,1.0
corner_11,2.0752703273343878,7.368928488317986,201.56652342429481,0.9999999999999999
corner_12,2.2153254717039856,5.34417701062842,269.84760405148256,0.9999999999999999
corner_13,2.2153254717039856,5.344176784281288,269.8476142703751,1.0
corner_14,2.0891649090932334,6.766479714843566,217.97780489203274,1.0
corner_15,2.0891649090932334,6.766479614471039,217.97780784889505,1.0
