S,t,lnN,N_B
60,2.0,1.4353445622221006,4.201092297130311
60,2.75,1.3685945622221005,3.9298236897748478
60,3.5,1.3018445622221004,3.6760711596992963
60,4.25,1.2350945622221006,3.438703676791964
60,5.0,1.1683445622221007,3.216663242653288
70,2.0,1.5894952420493595,4.901274346652031
70,2.75,1.5227452420493595,4.584794304737326
70,3.5,1.4559952420493594,4.288749686315849
70,4.25,1.3892452420493595,4.011820956257294
70,5.0,1.3224952420493596,3.7527737830955052
80,2.0,1.7230266346738814,5.601456396173746
80,2.75,1.6562766346738813,5.239764919699796
80,3.5,1.5895266346738812,4.9014282129323945
80,4.25,1.5227766346738814,4.5849382357226185
80,5.0,1.4560266346738815,4.288884323537717
90,2.0,1.8408096703302652,6.301638445695467
90,2.75,1.7740596703302651,5.894735534662273
90,3.5,1.707309670330265,5.514106739548946
90,4.25,1.6405596703302652,5.1580555151879475
90,5.0,1.5738096703302653,4.824994863979933
100,2.0,1.946170185988092,7.0018204952171885
100,2.75,1.879420185988092,6.549706149624751
100,3.5,1.8126701859880918,6.1267852661654985
100,4.25,1.745920185988092,5.731172794653277
100,5.0,1.679170185988092,5.361105404422151
