C,form,framework,L,N,D,Q
1e+19,exp,SLSQP,3.2470824656880852,0.2940861529676743,3.8103776626190795,0.7148963947016942
1e+19,exp,trust-constr,3.2471357918494994,0.29826001844269234,3.800887904603438,0.7098119284651706
1e+19,exp,COBYLA,3.2470824656886843,0.29408530494478824,3.8103884415530938,0.7148960195991321
1e+19,exp,DE,3.2470824657333823,0.29408970930366857,3.810309931623555,0.71490151414191
1e+19,exp,SHGO,3.2470824656880857,0.2940861509932827,3.8103777449722114,0.7148963848149263
1e+19,power,SLSQP,3.287052166111762,0.29819803321594557,3.936960256102478,0.5968640871204043
1e+19,power,trust-constr,3.289073878499036,0.3069506183407373,3.5082039000074836,0.6486801089848464
1e+19,power,COBYLA,3.287052166114365,0.298199903005194,3.936937171830355,0.5968645910516764
1e+19,power,DE,3.2870521661440697,0.2981998581037612,3.9369308179734612,0.5968656269526943
1e+19,power,SHGO,3.287052166111762,0.2981980327747505,3.9369602467638187,0.5968640892446662
1e+19,log,SLSQP,3.2056868911648966,0.33334194862316163,2.5973755194055146,0.9999999999999999
1e+19,log,trust-constr,3.263067997785654,0.3159861372946015,3.0227249059773014,0.7901218809128203
1e+19,log,COBYLA,3.206402399937005,0.30259318786936595,2.7469824355421903,1.0
1e+19,log,DE,3.2056868911868026,0.33334337420186033,2.5973689609651527,0.9999999999855929
1e+19,log,SHGO,3.205686889676114,0.3333419633587222,2.5973754648412584,1.0
1e+22,exp,SLSQP,2.1459725713593683,5.840797556512714,228.552502499196,1.0
1e+22,exp,trust-constr,2.161156908022316,5.72080766612471,240.08906352653253,0.9361351895853011
1e+22,exp,COBYLA,2.146520374523613,6.798782452323612,198.86126681297898,1.0
1e+22,exp,DE,2.1459725713878943,5.8408757151136985,228.549718403671,0.9999999999752701
1e+22,exp,SHGO,2.1459725713593683,5.8407975814318736,228.55250161155195,0.9999999999999999
1e+22,power,SLSQP,2.1476603732774278,5.973787923340154,219.257593492326,0.9999999999999999
1e+22,power,trust-constr,2.1973404653109068,7.3896111504264175,191.3179949020549,0.7958429248335642
1e+22,power,COBYLA,2.148020846178878,6.752218361547378,196.39911087394557,1.0
1e+22,power,DE,2.1476603732882147,5.973828397714368,219.2562666380904,0.9999999999807885
1e+22,power,SHGO,2.147660373277427,5.97378824963585,219.25758279552363,0.9999999999999999
1e+22,log,SLSQP,2.141558663005612,5.487386629600187,256.4332589647661,0.9999999999999997
1e+22,log,trust-constr,2.1929803308970697,7.216382390381095,198.40024905478074,0.8079705711474192
1e+22,log,COBYLA,2.14155869003579,5.481436841475224,256.7003354896036,1.0
1e+22,log,DE,2.1415586630357644,5.487203495938101,256.44147123981287,0.9999999999984994
1e+22,log,SHGO,2.1415586630056134,5.48738491913285,256.4333356650633,1.0
1e+24,exp,SLSQP,1.8908328842605462,50.296475972849684,2882.6270499904163,1.0
1e+24,exp,trust-constr,2.0324086811350415,33.546533167663654,581.3610297185377,0.7618049434597223
1e+24,exp,COBYLA,1.8908328842605464,50.29648518814029,2882.6265278115397,1.0
1e+24,exp,DE,1.8908328842684883,50.2965096351903,2882.62514243626,0.9999999999714897
1e+24,exp,SHGO,1.8908328842605342,50.296459287006336,2882.6279954851425,1.0
1e+24,power,SLSQP,1.89093571547246,50.45667553587638,2865.771598692414,0.9999999999999999
1e+24,power,trust-constr,2.0324208601974254,33.54761554406274,581.3533343868123,0.7617405710009931
1e+24,power,COBYLA,1.89093571547246,50.45667329707333,2865.7717240736306,1.0
1e+24,power,DE,1.8909357154913173,50.454988242821415,2865.866096093817,0.9999999999924729
1e+24,power,SHGO,1.89093571547246,50.45667511942107,2865.771622015447,1.0
1e+24,log,SLSQP,1.8905764092112571,49.8957686323884,2925.4638029648213,1.0
1e+24,log,trust-constr,2.0324113835743254,33.54477321596697,581.3123487025443,0.7618295376391752
1e+24,log,COBYLA,1.8905775320025724,50.39723319560625,2896.487692226683,1.0
1e+24,log,DE,1.8905764092233792,49.895887038503815,2925.456892050508,0.9999999999829958
1e+24,log,SHGO,1.8905764092112558,49.89576478627963,2925.464027427769,1.0
