family,N,D,C_real,Nstar_P3,delta_vs_P3,delta_vs_chinchilla,delta_vs_Dstar
Phi,1.3,405.0,3.159e+21,3.672620920993246,-0.4510327515306977,-0.5962408376219256,-0.14417297716467875
LLaMA,65.0,11349.0,4.42611e+24,103.51862363352103,-0.2021051324126366,-0.4705071218527854,0.02121800375329652
LLaMA,13.0,2229.0,1.73862e+23,21.919891212716216,-0.22689504212984302,-0.4665683602547104,-0.00035023269898992737
LLaMA,33.0,4583.0,9.07434e+23,48.159741889492345,-0.16417021079153216,-0.4208029608514594,0.0156583849762022
Qwen2,20.0,3000.0,3.6e+23,30.94772203450494,-0.1895986918035122,-0.43753063169585005,0.008595786979416209
Qwen2,72.0,33739.0,1.4575248e+25,184.68816198327497,-0.4091065627875059,-0.684884857084294,0.021809882572287442
Pythia,1.4,129.0,1.0835999999999999e+21,2.402240004298115,-0.23448835928509815,-0.33171583947851435,-0.13612736240541906
Pythia,12.0,300.0,2.16e+22,8.392772534890993,0.15527579324076746,-0.04845500650402834,-0.0026044562584846
Pythia,2.8,300.0,5.039999999999999e+21,4.460648346976601,-0.202239955856517,-0.3644666138567312,-0.0736732132446688
Pythia,0.16,13.0,1.248e+19,0.3375471096121536,-0.3242144108572815,-0.30439668699346556,-0.18219186600298287
Phi,2.7,1084.0,1.7560800000000003e+22,7.649366183627812,-0.4522616874186004,-0.651317761189699,-0.076442132805015
LLaMA,7.0,1229.0,5.1618e+22,12.45514982733805,-0.250250916169371,-0.47171192360410796,-0.020806843162772592
LLaMA,3.5,2200.0,4.62e+22,11.840104831407263,-0.5292875032646789,-0.7486623204039748,-0.05783655550133049
Pythia,0.41,41.0,1.0086e+20,1.0310522494393717,-0.40049681735935133,-0.3494850021680094,-0.2376967207675619
Pythia,6.9,300.0,1.242e+22,6.570178218202363,0.021271940639862263,-0.16862108415921317,-0.02144216375216801
Qwen2,0.5,361.0,1.083e+21,2.4017219779749213,-0.6815527279483262,-0.7787536009528289,-0.2425531553882237
Phi,14.0,4790.0,4.0236e+23,32.6338944089398,-0.3675408683085595,-0.6165887410361715,0.001318779039071627
Phi,4.2,350.0,8.82e+21,5.661064850983015,-0.12964883962584695,-0.30989437914419715,-0.04607369122997773
Phi,7.0,4448.0,1.86816e+23,22.676132168093638,-0.510470939602368,-0.7510183714478808,-0.020806843162772592
Qwen2,7.0,2221.0,9.3282e+22,16.375635047740612,-0.3691001109324158,-0.6002102614351178,-0.020806843162772592
Gemma,2.0,1049.0,1.2588e+22,6.609053536784862,-0.5191092742327876,-0.7093577484327973,-0.10146917575264153
Gemma,7.0,4109.0,1.72578e+23,21.84382742850367,-0.49423069683182363,-0.7338040527918165,-0.020806843162772592
Pythia,0.07,6.0,2.5200000000000005e+18,0.13094813383526066,-0.27200127358453796,-0.31601160735270284,-0.10571411476471737
Qwen2,1.5,680.0,6.12e+21,4.840961209763728,-0.5088403436320874,-0.6776938289932862,-0.12917691527025688
Pythia,1.0,111.0,6.66e+20,1.9988098238127965,-0.300771475259845,-0.37214649156133817,-0.17418097502018862
Phi,18.0,2800.0,3.024e+23,28.482995177143728,-0.19931315122773907,-0.4454277652874663,0.006739434265551791
GPT2,0.12,40.0,2.88e+19,0.5360582930003811,-0.6500307730329301,-0.6109243748081784,-0.15560689894977242
GPT2,0.35,40.0,8.399999999999998e+19,0.9420780014813406,-0.4300188183263425,-0.37848097565685285,-0.23034703388288436
GPT2,0.77,40.0,1.848e+20,1.263664474019258,-0.21514105096887495,-0.20726963524574993,-0.20696740539049596
