tau,framework,c0,bN,bT,pinball
0.5,LP,1.7346322149106228,0.3658827936977002,0.24769287958898267,411.99576073139303
0.5,statsmodels,1.734613087379619,0.36588274898053214,0.24770269137352594,411.9957609718741
0.5,sklearn,1.734632214910623,0.3658827936977002,0.24769287958898256,411.99576073139303
0.5,L-BFGS-B,1.733796089802424,0.3658821792824033,0.2481115874598612,411.99576127314003
0.5,Adam,1.7346521356370597,0.3658314802290463,0.247694429172798,411.99596157367057
0.7,LP,1.8905966647461372,0.3685672956223053,0.24818513592208882,318.7055000910113
0.7,statsmodels,1.8905960288772592,0.3685670712758868,0.24818545609123963,318.70550056509313
0.7,sklearn,1.8905966647461383,0.36856729562230545,0.24818513592208824,318.70550009101134
0.7,L-BFGS-B,1.8905966887011438,0.3685672654466536,0.24818515118230247,318.70550011907244
0.7,Adam,1.8899602703832348,0.3681006866791777,0.24783690911785167,318.7227735870403
0.8,LP,2.1487456202141235,0.37210936899729524,0.17662963213346633,241.71017123357893
0.8,statsmodels,2.1487753526479705,0.3721095120937393,0.1766193799627966,241.71017151357393
0.8,sklearn,2.148745620214124,0.37210936899729524,0.17662963213346616,241.7101712335789
0.8,L-BFGS-B,2.1495215160037353,0.37210936938332306,0.1763709988964204,241.71017123479777
0.8,Adam,2.150535134703476,0.3721628313691592,0.17611558059624377,241.71072277401032
0.9,LP,2.4806692634076675,0.3643152249826736,0.0890448564867425,135.95035246242486
0.9,statsmodels,2.4806723900437655,0.3643156368072228,0.08904287142847864,135.95035303442972
0.9,sklearn,2.480669263407668,0.36431522498267377,0.08904485648674187,135.95035246242486
0.9,L-BFGS-B,2.4806994050224014,0.36433120151478243,0.08902046051628783,135.9503542799361
0.9,Adam,2.4807724558339936,0.36424901383208436,0.08877384208691792,135.95221269424002
0.95,LP,2.6155190106098134,0.3401677557351764,0.0729067868662574,73.3321831728503
0.95,statsmodels,2.6155178654401032,0.3401678070752149,0.07290699975698753,73.33218385439292
0.95,sklearn,2.615519010609814,0.3401677557351764,0.07290678686625718,73.33218317285032
0.95,L-BFGS-B,2.6155193667186207,0.34016775938887217,0.07290660385505457,73.33218328451872
0.95,Adam,2.6154420531077456,0.34028398763242584,0.07320686171989725,73.33491065633284
0.99,LP,2.90811123947983,0.27845664726820885,0.043800480319530405,16.36392300833524
0.99,statsmodels,2.90811066463006,0.27845675272137754,0.043800577002013376,16.36392354877913
0.99,sklearn,2.9081112394798305,0.27845664726820885,0.04380048031953043,16.363923008335234
0.99,L-BFGS-B,2.908834681554394,0.2784885405198924,0.0435378666961176,16.363969161994223
0.99,Adam,2.9068415549384548,0.27844616770390956,0.04436600088403623,16.364111250520267
