held_out_family,n_train,n_test,r2_offset,r2_raw,alpha,beta
BLOOM,53,4,0.9970725130735508,0.8191477645648015,0.081084387764152,0.6465088784356751
Cerebras-GPT,50,7,0.9917410503950916,0.799435011206142,0.07650422639223832,0.7816629444830658
Falcon,55,2,0.9247664093312666,0.16551129966907607,0.07233864518952646,0.6385795336973846
GPT2,53,4,0.3381007676497054,-8.009955868486626,0.1730963819650495,0.39212784124140315
Gemma,54,3,0.9584778457818274,0.8532011602821481,0.07138054596743629,0.6527783243827046
LLaMA,51,6,0.9124833708360215,0.9047205974049514,0.09084702481397612,0.6284770055026626
Mistral,56,1,,-inf,0.07142581456906928,0.6484956443812911
OPT,50,7,0.9850163523888981,0.8912908024704311,0.06928250988182341,0.6747774606493567
Phi,51,6,0.9640649316045711,0.9639424043227317,0.07165487504227318,0.6489923805554275
Pythia,49,8,0.7879709908527074,0.6898528004905897,0.14111392597894473,0.046012028869499635
Qwen2,50,7,0.9847470822609588,0.9560539951919176,0.07136696110456214,0.6251557543731477
Yi,55,2,0.9281307686693182,0.2415950365387869,0.07107811433887444,0.6509414583009205
