a,b,spearman
TOPSIS,SAW,1.0
TOPSIS,GRA,0.42857142857142866
TOPSIS,RSR,0.25
TOPSIS,熵-CRITIC,1.0
TOPSIS,CRITIC-only,0.7857142857142859
TOPSIS,PROMETHEE-II,1.0
TOPSIS,VIKOR,0.9285714285714288
SAW,GRA,0.42857142857142866
SAW,RSR,0.25
SAW,熵-CRITIC,1.0
SAW,CRITIC-only,0.7857142857142859
SAW,PROMETHEE-II,1.0
SAW,VIKOR,0.9285714285714288
GRA,RSR,0.25
GRA,熵-CRITIC,0.42857142857142866
GRA,CRITIC-only,0.8214285714285715
GRA,PROMETHEE-II,0.42857142857142866
GRA,VIKOR,0.14285714285714288
RSR,熵-CRITIC,0.25
RSR,CRITIC-only,0.4642857142857144
RSR,PROMETHEE-II,0.25
RSR,VIKOR,0.25
熵-CRITIC,CRITIC-only,0.7857142857142859
熵-CRITIC,PROMETHEE-II,1.0
熵-CRITIC,VIKOR,0.9285714285714288
CRITIC-only,PROMETHEE-II,0.7857142857142859
CRITIC-only,VIKOR,0.6071428571428572
PROMETHEE-II,VIKOR,0.9285714285714288
