framework,form,k,r2,rss,bic,aic
TRF,additive,7,0.971612217620039,2.6991917075859457,-4573.4270887657985,-4606.306328499464
TRF,interaction_D,8,0.9720398117159623,2.65853483546819,-4579.023589210473,-4616.599863191805
TRF,interaction_N,8,0.979073497981687,1.989751786898424,-4813.733447016853,-4851.309720998184
TRF,multiplicative,7,0.9783627350462322,2.0573331638358967,-4793.375944485054,-4826.2551842187195
TRF,saturating,8,0.9716366675518576,2.696866937995547,-4567.427994851405,-4605.004268832737
TRF,exponential_Q,7,0.9714980815512283,2.7100440921204925,-4570.176927895511,-4603.056167629176
L-BFGS-B,additive,7,0.971612217619698,2.6991917076183776,-4573.427088756066,-4606.306328489732
L-BFGS-B,interaction_D,8,0.9720398117157738,2.6585348354861087,-4579.023589205013,-4616.599863186345
L-BFGS-B,interaction_N,8,0.9790734979813185,1.9897517869334655,-4813.733447002588,-4851.30972098392
L-BFGS-B,multiplicative,7,0.9783627350486344,2.0573331636074945,-4793.375944574979,-4826.255184308645
L-BFGS-B,saturating,8,0.8707988410960075,12.284816476905444,-3339.246572304476,-3376.822846285808
L-BFGS-B,exponential_Q,7,0.9714980815509671,2.7100440921453286,-4570.1769278880865,-4603.056167621752
DE,additive,7,0.9716122176198945,2.6991917075996943,-4573.427088761672,-4606.306328495338
DE,interaction_D,8,0.9720398115934937,2.6585348471128527,-4579.023585662587,-4616.5998596439185
DE,interaction_N,8,0.9790734977351183,1.9897518103428797,-4813.733437472944,-4851.309711454276
DE,multiplicative,7,0.9783627350139776,2.057333166902749,-4793.375943277593,-4826.255183011259
DE,saturating,8,0.9716364230712122,2.6968901839159845,-4567.42101300364,-4604.997286984972
DE,exponential_Q,7,0.9714979876785473,2.7100530178040314,-4570.174260119078,-4603.053499852744
Adam,additive,7,0.971612217620039,2.6991917075859453,-4573.4270887657985,-4606.306328499464
Adam,interaction_D,8,0.9720398116977494,2.6585348371999142,-4579.023588682853,-4616.599862664185
Adam,interaction_N,8,0.9790734979816883,1.9897517868983035,-4813.733447016902,-4851.309720998233
Adam,multiplicative,7,0.9783627350490961,2.0573331635635936,-4793.375944592264,-4826.25518432593
Adam,saturating,8,0.971602715019854,2.7000952420458355,-4566.458958380376,-4604.035232361708
Adam,exponential_Q,7,0.9714561581179961,2.71403029230405,-4568.986375369446,-4601.865615103112
