family,n,r2_loo,alpha,beta,E_train,A,B
Phi,6,0.9640649316045711,0.07165487504227318,0.6489923805554275,1.4355702439850502e-12,2.481013995143571,4.237322803997017
LLaMA,6,0.9124833708360215,0.09084702481397612,0.6284770055026626,0.5172340934841354,1.9528535841526475,4.059538968966766
Qwen2,7,0.9847470822609588,0.07136696110456214,0.6251557543731477,0.010044655868255606,2.451487948108734,4.127624556848524
Pythia,8,0.7879709908527074,0.14111392597894473,0.046012028869499635,1.88204885123278e-09,1.227293820615194,1.7830327706094737
Gemma,3,0.9584778457818274,0.07138054596743629,0.6527783243827046,3.2793417880410253e-12,2.484470701125986,4.262075025564087
GPT2,4,0.3381007676497054,0.1730963819650495,0.39212784124140315,1.2480616890708016,1.0830887930248814,2.7896644839542226
OPT,7,0.9850163523888981,0.06928250988182341,0.6747774606493567,2.9974293314571376e-14,2.463644425345942,4.649338719165343
BLOOM,4,0.9970725130735508,0.081084387764152,0.6465088784356751,0.2810808956817421,2.1901822704034846,4.241876044999014
Falcon,2,0.9247664093312666,0.07233864518952646,0.6385795336973846,5.069297365644452e-12,2.4766332549160444,4.146297914627202
Mistral,1,,0.07142581456906928,0.6484956443812911,4.590111044670131e-14,2.481863564646368,4.234274042029937
Yi,2,0.9281307686693182,0.07107811433887444,0.6509414583009205,3.9433679210521444e-14,2.4834172036990347,4.257259351376205
Cerebras-GPT,7,0.9917410503950916,0.07650422639223832,0.7816629444830658,4.764722728642015e-13,2.5523769001656778,4.9931228152747655
