C,form,N,D,Q,L,C_train,C_Q,C_attn,C_total,s_train,s_Q,s_attn
1e+17,exp,0.02433522594832688,0.6026028606682002,0.4000000000000001,4.823509490748936,8.798686062881277e+16,0.0,1.2013139371187238e+16,1e+17,0.8798686062881277,0.0,0.12013139371187238
1.1220184543019653e+17,exp,0.0257953083031838,0.6378607057873259,0.4,4.772360346555927,9.872288136162293e+16,0.0,1.3478964068573582e+16,1.1220184543019651e+17,0.8798686062881277,0.0,0.12013139371187234
1.2589254117941714e+17,exp,0.027343398946699866,0.6751714552479058,0.40000000000000013,4.722053580732527,1.1076889474960442e+17,30.182516064401227,1.5123646429812656e+16,1.258925411794171e+17,0.8798686062881275,2.3974824704973025e-16,0.12013139371187233
1.4125375446227498e+17,exp,0.028984831049100813,0.7146539504355841,0.4,4.672575105923528,1.2428474407168722e+17,0.0,1.6969010390587696e+16,1.4125375446227491e+17,0.8798686062881277,0.0,0.12013139371187237
1.584893192461111e+17,exp,0.0307252540565167,0.756434083941302,0.4000000000000001,4.623911072420053,1.394497764366299e+17,0.0,1.9039542809481204e+16,1.584893192461111e+17,0.8798686062881277,0.0,0.12013139371187237
1.778279410038923e+17,exp,0.032570675143659175,0.800644659242618,0.4000000000000001,4.576047864131545,1.5646522261018205e+17,0.0,2.1362718393710188e+16,1.7782794100389222e+17,0.8798686062881277,0.0,0.12013139371187237
1.995262314968883e+17,exp,0.03452745947207966,0.8474263185945852,0.4000000000000001,4.528972094626171,1.755568672250892e+17,0.0,2.396936427179885e+16,1.9952623149688806e+17,0.8798686062881277,0.0,0.12013139371187236
2.238721138568347e+17,exp,0.03660236423589509,0.8969276935979013,0.4,4.482670603238527,1.9697804480599018e+17,0.0,2.689406905084452e+16,2.238721138568347e+17,0.8798686062881277,0.0,0.12013139371187234
2.511886431509572e+17,exp,0.038802552412360754,0.9493061135768383,0.4,4.437130451243478,2.2101300136463853e+17,0.0,3.017564178631865e+16,2.511886431509572e+17,0.8798686062881276,0.0,0.12013139371187236
2.8183829312644493e+17,exp,0.041135633756374676,1.0047277081813968,0.4000000000000001,4.392338918095003,2.479806661717898e+17,0.0,3.385762695465504e+16,2.8183829312644483e+17,0.8798686062881276,0.0,0.12013139371187238
3.1622776601683795e+17,exp,0.04360967217662191,1.063368399208775,0.4,4.348283497728984,2.7823888375484336e+17,0.0,3.7988882261994616e+16,3.1622776601683795e+17,0.8798686062881277,0.0,0.12013139371187238
3.5481338923357606e+17,exp,0.046233238401105804,1.1254138547425314,0.4,4.304951894928767,3.121891622773135e+17,0.0,4.2624226956262536e+16,3.54813389233576e+17,0.8798686062881277,0.0,0.12013139371187237
3.9810717055349856e+17,exp,0.04901541140006981,1.1910607681094827,0.4,4.262332021752509,3.502820013082167e+17,0.0,4.782516924528186e+16,3.9810717055349856e+17,0.8798686062881277,0.0,0.12013139371187237
4.4668359215096166e+17,exp,0.05196582989680943,1.2605169924739705,0.4,4.220411994021217,3.9302286967764096e+17,0.0,5.366072247332058e+16,4.4668359215096154e+17,0.8798686062881277,0.0,0.12013139371187236
5.011872336272715e+17,exp,0.0550947238912966,1.334002246782266,0.4,4.179180127866438,4.409789127410295e+17,0.0,6.02083208862419e+16,5.011872336272714e+17,0.8798686062881276,0.0,0.12013139371187237
5.6234132519034906e+17,exp,0.05841295727896058,1.4117486402047117,0.4,4.138624936336638,4.947864780534511e+17,0.0,6.755484713689786e+16,5.623413251903489e+17,0.8798686062881277,0.0,0.12013139371187237
6.309573444801943e+17,exp,0.06275169776328031,1.4539917595821874,0.4088793704276602,4.098647011324173,5.474427086856093e+17,8770457968709761.0,7.474417782587518e+16,6.309573444801942e+17,0.8676382222582933,0.013900239129374405,0.11846153861233231
7.079457843841403e+17,exp,0.06793853875323416,1.4727509963707412,0.4244400305251344,4.05883954774276,6.00339303844787e+17,2.5640154254411824e+16,8.19663262849416e+16,7.079457843841403e+17,0.8480018061934461,0.036217680534275425,0.11578051327227855
7.943282347242789e+17,exp,0.07332538311229139,1.5003706364318559,0.4394049951230603,4.019215490399535,6.600915103607898e+17,4.411223014889569e+16,9.012449421459317e+16,7.943282347242787e+17,0.8310059765027941,0.05553400750535778,0.11346001599184816
8.912509381337441e+17,exp,0.07894148801290794,1.5355810461320554,0.4538929323726565,3.9798333413653646,7.273263164764938e+17,6.462033524765972e+16,9.93042864095906e+16,8.912509381337441e+17,0.8160735493860976,0.07250520867105396,0.11142124194284848
1e+18,exp,0.08481263974364825,1.5775870246665982,0.4679894908661117,3.9407394156412217,8.027959199238126e+17,8.759567714258958e+16,1.0960840293359789e+17,1e+18,0.8027959199238126,0.08759567714258959,0.10960840293359789
1.1220184543019653e+18,exp,0.09096271876596873,1.6258927989464842,0.48175875255456896,3.9019708946166953,8.873737764850967e+17,1.1348857820077003e+17,1.2115609961609853e+17,1.1220184543019653e+18,0.7908727107676258,0.10114680178890106,0.10798048744347316
