eta,gscale,form,Q_active_C,first_sat_C
0.0001,0.3,exp,1e+17,2.511886431509572e+19
0.0001,0.3,power,2.511886431509572e+17,1.2589254117941713e+19
0.0001,0.3,log,3.9810717055349856e+17,3.9810717055349856e+17
0.0001,1.0,exp,7.943282347242789e+17,1.995262314968883e+20
0.0001,1.0,power,2.511886431509572e+18,1e+20
0.0001,1.0,log,3.1622776601683794e+18,3.1622776601683794e+18
0.0001,3.0,exp,5.011872336272715e+18,1.2589254117941712e+21
0.0001,3.0,power,1.5848931924611109e+19,6.309573444801943e+20
0.0001,3.0,log,1.9952623149688828e+19,1.9952623149688828e+19
0.0002,0.3,exp,1e+17,2.511886431509572e+19
0.0002,0.3,power,2.511886431509572e+17,1.2589254117941713e+19
0.0002,0.3,log,3.9810717055349856e+17,3.9810717055349856e+17
0.0002,1.0,exp,6.309573444801943e+17,1.995262314968883e+20
0.0002,1.0,power,1.995262314968883e+18,1e+20
0.0002,1.0,log,3.1622776601683794e+18,3.1622776601683794e+18
0.0002,3.0,exp,5.011872336272715e+18,1.2589254117941712e+21
0.0002,3.0,power,1.5848931924611109e+19,6.309573444801943e+20
0.0002,3.0,log,1.9952623149688828e+19,1.9952623149688828e+19
0.0004,0.3,exp,1e+17,1.9952623149688828e+19
0.0004,0.3,power,2.511886431509572e+17,1.2589254117941713e+19
0.0004,0.3,log,3.9810717055349856e+17,3.9810717055349856e+17
0.0004,1.0,exp,6.309573444801943e+17,1.5848931924611108e+20
0.0004,1.0,power,1.995262314968883e+18,7.94328234724279e+19
0.0004,1.0,log,3.1622776601683794e+18,3.1622776601683794e+18
0.0004,3.0,exp,3.9810717055349857e+18,1e+21
0.0004,3.0,power,1.2589254117941713e+19,5.0118723362727146e+20
0.0004,3.0,log,1.9952623149688828e+19,1.9952623149688828e+19
